Frame,Label,Pelvis x,Pelvis y,Pelvis z,L5 x,L5 y,L5 z,L3 x,L3 y,L3 z,T12 x,T12 y,T12 z,T8 x,T8 y,T8 z,Neck x,Neck y,Neck z,Head x,Head y,Head z,Right Shoulder x,Right Shoulder y,Right Shoulder z,Right Upper Arm x,Right Upper Arm y,Right Upper Arm z,Right Forearm x,Right Forearm y,Right Forearm z,Right Hand x,Right Hand y,Right Hand z,Left Shoulder x,Left Shoulder y,Left Shoulder z,Left Upper Arm x,Left Upper Arm y,Left Upper Arm z,Left Forearm x,Left Forearm y,Left Forearm z,Left Hand x,Left Hand y,Left Hand z,Right Upper Leg x,Right Upper Leg y,Right Upper Leg z,Right Lower Leg x,Right Lower Leg y,Right Lower Leg z,Right Foot x,Right Foot y,Right Foot z,Right Toe x,Right Toe y,Right Toe z,Left Upper Leg x,Left Upper Leg y,Left Upper Leg z,Left Lower Leg x,Left Lower Leg y,Left Lower Leg z,Left Foot x,Left Foot y,Left Foot z,Left Toe x,Left Toe y,Left Toe z
10,4,0,0,0,-0.0596808682574246,-0.0540492868336692,0.0133383298690102,-0.0800704508178059,-0.0534611869861504,0.00938813923477943,-0.0968844856382389,-0.0525426727825899,0.00631463839632175,-0.0772765057230525,0.0375270862599755,-0.017049396270643,-0.151796440958459,-0.0603315786762063,-0.0120723367328722,-0.139658482328779,0.03510528539762,-0.06480278135304,-0.126907304396318,0.0359185201599574,-0.0329844241236646,-0.22343133339665,0.0947704884546201,0.0102468814277772,-0.343455101384329,0.0253512853117208,0.175633812775698,-0.462920560983338,0.0217917484243845,-0.0570506568859844,-0.0995923665839495,-0.0111447299057676,-0.04831572096168,-0.0905347324486736,-0.0832950249911021,-0.0664193526377073,-0.184843408723797,-0.0900793504457705,-0.126622066587329,-0.17796959583262,-0.127541318107559,-0.0624910883988277,-0.0436741212698682,0.0364528771292445,-0.043522310366463,0.0258794336000265,-0.145497266824952,-0.054628887027526,-0.0484090651234731,-0.112014063317842,-0.0790189159493083,-0.0484090651234731,-0.112014063317842,-0.0790189159493083,0.0702424307370815,-0.0717461653770536,-0.0310153329638108,0.0513529410230343,-0.176904048719068,-0.0134138484670074,-0.0701066227409704,-0.0487295257780729,-0.0488981059393911,-0.0701066227409704,-0.0487295257780729,-0.0488981059393911
11,4,0,0,0,-0.0564954508169413,-0.045836767966423,0.00678156598935374,-0.0742144872707375,-0.0444418911366277,0.00340484797274013,-0.088157267210794,-0.042930344740987,0.0009902646583785,-0.0862269232839936,0.0444761343161662,-0.0222586673534019,-0.134095116765714,-0.0494804874842731,-0.014618626372166,-0.13875198047374,0.0380671561377544,-0.0662984397351291,-0.129651608705104,0.0414450356796392,-0.0368375819526778,-0.224685726772251,0.100871226105,0.00322860447162683,-0.357095795726184,0.0498797974463248,0.142590387178277,-0.471046970817356,0.0659225795804118,-0.0528974053303707,-0.100548602811741,-0.00435918373203443,-0.0483215591900368,-0.0920643679729613,-0.0746862724776378,-0.0703531255339612,-0.181040746930773,-0.0882854115992001,-0.137616397102412,-0.168802241837824,-0.132790941406658,-0.0675806858524641,-0.0554653841657485,-0.0154965086420324,-0.057922474138529,0.0214035263541885,-0.135738046624842,-0.0599442157206376,-0.0506710134527752,-0.104715781337257,-0.0800162400970866,-0.0506710134527752,-0.104715781337257,-0.0800162400970866,0.0505768182861385,-0.0452916995725725,-0.0279241832419426,0.0494649660752974,-0.177858562427036,-0.0167224694847254,-0.0903448206299506,-0.0758666974467419,-0.0593113144440574,-0.0903448206299506,-0.0758666974467419,-0.0593113144440574
12,4,0,0,0,-0.0521534814628217,-0.0341279815041998,0.0021890526959549,-0.0683512411907777,-0.0314127991148679,-0.000789523354612557,-0.0806830223532,-0.0288210818345002,-0.0026904195843437,-0.0875198717678256,0.0548375620521678,-0.0245006260778739,-0.121617053037296,-0.0333594871518252,-0.0166788563695545,-0.134326097294673,0.0445055142918111,-0.067563370314283,-0.131339698293935,0.051003126440666,-0.0392374641340281,-0.224883791579705,0.110654877510625,-0.00133910850289831,-0.364617879481948,0.0764042929058038,0.120485160728132,-0.47036353233937,0.117151586038632,-0.0456384540668062,-0.0999591291289733,0.00743156549576676,-0.0464570112052879,-0.0900382561201642,-0.0603320828738183,-0.0685881868873008,-0.178277247141047,-0.0821894321442829,-0.143640119043085,-0.161384620248869,-0.132289827760917,-0.0694515237609363,-0.0580698644433253,-0.0476919751991668,-0.0682003924397589,0.0180714168501966,-0.124662034006114,-0.0642906710456314,-0.0496040954242678,-0.0957503191052287,-0.0806530394232111,-0.0496040954242678,-0.0957503191052287,-0.0806530394232111,0.0382941049099898,-0.0242304228992798,-0.0281419326697293,0.0497870062756828,-0.172700729935606,-0.0213378783714717,-0.0990839093616713,-0.0913402036255062,-0.0663817472146605,-0.0990839093616713,-0.0913402036255062,-0.0663817472146605
13,4,0,0,0,-0.0452155336964895,-0.0144734642334411,0.00255015084096758,-0.0628936778983102,-0.00908039796795684,-0.000480612341889776,-0.076992481314225,-0.0041103469078634,-0.00225345050575131,-0.0713735190940755,0.072750536465244,-0.0190739741976128,-0.123956608939446,-0.00460597253036248,-0.017863428971124,-0.124160889178099,0.0585154195785864,-0.0680880364590405,-0.13231549101911,0.0703677276824782,-0.0389109112630506,-0.223322614880031,0.130264171682564,-0.00160768220661219,-0.35890838470935,0.107835050826945,0.120595498171501,-0.453312857428615,0.162483521656129,-0.0378230481448255,-0.0966634838588811,0.0294178105962647,-0.0407829168124165,-0.0810427435000648,-0.03393566819445,-0.0539031734517839,-0.175411677031315,-0.0660296957418428,-0.138583265346796,-0.156596443588753,-0.118942819183412,-0.0625548244058476,-0.0411411204221081,-0.0351849617732576,-0.0694285348032146,0.0143756497042526,-0.108754035973784,-0.0659106089091584,-0.0407852188796294,-0.081478510832623,-0.0797107887080067,-0.0407852188796294,-0.081478510832623,-0.0797107887080067,0.0409820704941336,-0.0121763217649678,-0.0343734763014082,0.058438765817222,-0.152057715449261,-0.0268406538995137,-0.0902903164995658,-0.0807086854085734,-0.0653971269584452,-0.0902903164995658,-0.0807086854085734,-0.0653971269584452
14,4,0,0,0,-0.0371210340165211,0.00867732063229445,0.0048754995722379,-0.0574288320729511,0.0172617993511913,0.00161721860551962,-0.0745549138451009,0.0250973228836573,-0.000172791931937869,-0.0475696973432163,0.094075890558131,-0.0106800099590647,-0.131519425305921,0.0294174512316148,-0.0185619419307883,-0.110476299737497,0.0760018122792841,-0.0683819748008629,-0.132235069024331,0.0937639041656354,-0.0371310827444102,-0.220705109612209,0.153556379609748,0.00057430807129916,-0.347080279350661,0.141261792072962,0.131644034762148,-0.427452334205855,0.214913632575819,-0.026901942514894,-0.091822128678229,0.0564092587508307,-0.0332384362064393,-0.0684914835028806,-0.00179381642472634,-0.0335194484733529,-0.173585268924881,-0.0455679187310557,-0.128555803076096,-0.153557999334478,-0.0998450736610663,-0.0524393655055947,-0.0150255937825873,-0.00292402913320589,-0.0665344316958342,0.0118236803001547,-0.0915292455228365,-0.0665616734045676,-0.0286374759771815,-0.0655395223085738,-0.0784080131711484,-0.0286374759771815,-0.0655395223085738,-0.0784080131711484,0.0510529351530717,-0.00551540976184425,-0.0439139190827421,0.0693005405068835,-0.12530235476352,-0.0336502172965839,-0.0699976144802009,-0.0584135017017359,-0.0610697309681668,-0.0699976144802009,-0.0584135017017359,-0.0610697309681668
15,4,0,0,0,-0.0299693442868561,0.0259410857940711,0.00730115095163468,-0.0513384375908857,0.0365512618778218,0.00400998381573809,-0.0696786288103398,0.0462501751894084,0.00235689190460051,-0.0287964372747449,0.109320745929526,-0.00555927395791578,-0.130121221556006,0.0541109332690301,-0.0167746103497996,-0.0948977299316576,0.0901629914553731,-0.0660386597970574,-0.128546611282851,0.109786022231097,-0.033921980794737,-0.217299874963926,0.166286817727661,0.00482133158477195,-0.338940512720262,0.164929696070423,0.137698346744482,-0.400088395896382,0.311527553027979,-0.0086045935680006,-0.0867388589392635,0.076735604757066,-0.026544139712375,-0.0574353529691442,0.023263478523707,-0.0199434189768759,-0.174498935343009,-0.0327491785396999,-0.120285902834948,-0.150557729327486,-0.0894732063908763,-0.0450047158977194,0.00416517117942718,0.0126088995211647,-0.0635582589552177,0.0103292884706794,-0.0789498453938766,-0.0660612358267747,-0.0193003644728181,-0.0530418394825331,-0.0764981317556461,-0.0193003644728181,-0.0530418394825331,-0.0764981317556461,0.0545704211354103,-0.00396644816289032,-0.0493676867851069,0.0765892766083056,-0.107095072408009,-0.0377983130883673,-0.0536124612123026,-0.0398591668760179,-0.0582771588990714,-0.0536124612123026,-0.0398591668760179,-0.0582771588990714
16,4,0,0,0,-0.0247509182401308,0.0305299218993053,0.00957769911033486,-0.0439490679762844,0.0406948186078263,0.00664426319766347,-0.0597499733848026,0.0503004805737065,0.00547029740837039,-0.0223934941742376,0.112167184501499,-0.00715315354137898,-0.11026885084925,0.0598318430705629,-0.0101484676821079,-0.0768316317961602,0.0970294146298933,-0.05953311069477,-0.119522975878516,0.110989317577119,-0.0288133817022746,-0.217266889416183,0.158286115039498,0.0145501920006146,-0.344953501024338,0.170626479688118,0.135402679227752,-0.376346881506309,0.517254157728674,0.0272009655302758,-0.0815798726605361,0.0840149474522796,-0.0216417410411555,-0.0508107795562892,0.0339839969261403,-0.0201347057967031,-0.179699378821445,-0.0350452994337242,-0.117517976369865,-0.140503489691679,-0.0985186919561636,-0.045444102243856,0.00787978822143716,-0.0112154578597718,-0.0619838458144876,0.0112503185037429,-0.0759842892279835,-0.0638877779139206,-0.0159070001959151,-0.0477036048566147,-0.0735510213579551,-0.0159070001959151,-0.0477036048566147,-0.0735510213579551,0.0443909386304652,-0.0106686092547866,-0.046425740541928,0.0772714356242187,-0.10689176751758,-0.0368504458701467,-0.047634184945999,-0.0319867125627741,-0.0599916478392185,-0.047634184945999,-0.0319867125627741,-0.0599916478392185
17,4,0,0,0,-0.020475302143709,0.0292317383005805,0.0119545499171615,-0.0359341497049767,0.0377856405453131,0.00957347684239792,-0.0473826003936283,0.0462959684722351,0.0090327281748652,-0.0210211127561182,0.10893312435198,-0.0120202613622413,-0.0814554600261038,0.0562228111475336,-0.00103648047376321,-0.056871553295426,0.100570624279805,-0.0503903082468547,-0.10689130472748,0.104818554505446,-0.0222755091787793,-0.216446174487978,0.139723642542064,0.0263440856520188,-0.354654828056705,0.166564426057258,0.12811278710271,-0.351101952029522,0.767164571961839,0.070382767945514,-0.0761789718234953,0.0846291879991623,-0.0175895264818489,-0.0456813356068821,0.0376199585072833,-0.0271336880984844,-0.187639896824444,-0.0449844571471797,-0.116507611934334,-0.130487424303154,-0.116290055773607,-0.0485642978823704,0.00466964358594088,-0.0517678192263895,-0.0603273630405214,0.0132289261114289,-0.0776641233840784,-0.0605628179278644,-0.0153242673170965,-0.0458066759287048,-0.0699968050816201,-0.0153242673170965,-0.0458066759287048,-0.0699968050816201,0.0276580774489205,-0.0224827207508526,-0.03939711921978,0.0743805560518925,-0.11523654095738,-0.0332411110466393,-0.0455634574311621,-0.0278551071306498,-0.0632409607005486,-0.0455634574311621,-0.0278551071306498,-0.0632409607005486
18,4,0,0,0,-0.0162704966636222,0.0330269757567117,0.0133159730404527,-0.0286956960806365,0.0410407097378521,0.0114638993513704,-0.0367257771767463,0.0488280748413908,0.0114454307580692,-0.0153480579231552,0.109079441313454,-0.0160769759745502,-0.0579762090272055,0.0576118781688265,0.00550223653583287,-0.0384235392815108,0.105893546897458,-0.0407786691691806,-0.0932812025514574,0.102202392262272,-0.0157430365761507,-0.20262639392399,0.126862829661257,0.0295670707924952,-0.346458194513189,0.16562556399804,0.109963511286022,-0.316282523672967,0.903557805809561,0.0948154567834621,-0.071341357724733,0.0860537246833878,-0.0142829252266785,-0.0382886149891547,0.0430980285296197,-0.0325679104040378,-0.195381294266028,-0.0520962563099983,-0.11274974489278,-0.14007440663165,-0.125189489290237,-0.0446851916659013,0.00407735170462347,-0.0776422616296345,-0.0581774987715516,0.0121053582627654,-0.0750461696795319,-0.0574682819490991,-0.0142923161041287,-0.0413051111419152,-0.066879271180286,-0.0142923161041287,-0.0413051111419152,-0.066879271180286,0.0118663292714348,-0.0297100270640277,-0.0338133651897633,0.071234199646774,-0.118422119852477,-0.030305539357682,-0.0433089518261336,-0.022045770056605,-0.0639859858741301,-0.0433089518261336,-0.022045770056605,-0.0639859858741301
19,4,0,0,0,-0.0124688380281653,0.049801400584185,0.0113771585452451,-0.02392422151517,0.0598564585245565,0.00990633576626803,-0.0310393932831829,0.0680047708935501,0.0101215456619683,0.00170236711243147,0.119803416957068,-0.0182447715556455,-0.0486869111792166,0.0727536272852436,0.00478318023757331,-0.0228519180410133,0.117448111140239,-0.0313763535954038,-0.0789279726979223,0.110391346059452,-0.00955318290620497,-0.167173202975328,0.128275125399853,0.0162589795532137,-0.306884145356286,0.179403568161632,0.0785351370798043,-0.263640029726901,0.831966207436615,0.0933577538158292,-0.0683202980724939,0.0924309399930983,-0.0128595011355584,-0.0247283392918809,0.0562182666808846,-0.0355997087839209,-0.203274214033187,-0.0516733651544448,-0.106495223895129,-0.190652539939262,-0.116048992043097,-0.0261280435454335,0.0111663604764034,-0.0716623694381817,-0.0557321283723427,0.00353073131292807,-0.0630977058515848,-0.0559883577296155,-0.0109088520264874,-0.029545793092348,-0.0657002006876864,-0.0109088520264874,-0.029545793092348,-0.0657002006876864,-0.00105864748246979,-0.0285703480650518,-0.0335641987613942,0.0704462655325992,-0.111600380472469,-0.030700523624916,-0.0397820942182105,-0.01164098649848,-0.0611654506755479,-0.0397820942182105,-0.01164098649848,-0.0611654506755479
